"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"89eeb939-7c26-4540-b2e1-ba47fa86be32","Domar a la divina garza - Sergio Pitol.txt","Bajtin","char-offset:10965","PERSON","","","","","","","","#creación literaria|#narrativa|#carnaval|#discurso|#intertexto","Mijaíl Mijáilovich Bajtín (Oriol, 17 de noviembre de 1895-Moscú, 7 de marzo de 1975) fue un historiador, crítico literario, teórico y filósofo del lenguaje de la Unión Soviética.","",""
"16a48416-3638-4a18-85f4-d794bd4e06c2","Domar a la divina garza - Sergio Pitol.txt","la cultura popular en la Edad Media y a principios del Renacimiento","char-offset:10978","EVENT","","","","","","","","#carnaval|#cultura popular|#intertexto","La cultura popular en la Edad Media y el Renacimiento. El contexto de François Rabelais. Obra de Mijail Bajtin","",""
"29dcdd99-e176-4a21-a026-34a4505e1390","Domar a la divina garza - Sergio Pitol.txt","B)","char-offset:11819","","","","","","","","","#creación literaria|#narrativa|#puesta en abismo|#intertexto","Segunda nota. Referencia e intertextos","",""
"d9d38e70-9d85-4a40-be60-6633d96e3afb","Domar a la divina garza - Sergio Pitol.txt","Gogol","char-offset:11823","PERSON","","","","","","","","#creación literaria|#narrativa|#carnaval|#intertexto","Nicolás Gógol; Soróchintsy, Gobernación de Poltava, 1 de abril de 1809- Moscú; 4 de marzo de 1852) fue un escritor ruso​ de origen ucraniano. Cultivó varios géneros, pero fue notablemente conocido como dramaturgo, novelista y escritor de cuentos cortos. Su obra más conocida es, probablemente, Almas muertas, considerada por muchos como la primera novela moderna en lengua rusa.","",""
"77fa1107-214f-48e3-9f06-2c52612e2846","Domar a la divina garza - Sergio Pitol.txt","Bajtin","char-offset:11830","PERSON","","","","","","","","#creación literaria|#narrativa|#carnaval|#discurso|#intertexto","Mijaíl Mijáilovich Bajtín (Oriol, 17 de noviembre de 1895-Moscú, 7 de marzo de 1975) fue un historiador, crítico literario, teórico y filósofo del lenguaje de la Unión Soviética.","",""
"af4a7419-7c74-4f1a-b19b-442c806fa30f","Domar a la divina garza - Sergio Pitol.txt","carnavalesco","char-offset:11856","","","","","","","","","#carnaval|#cultura popular|#creación literaria|#intertexto","Carnaval en la literatura","",""
"4c4fa59b-c654-4b15-aec6-875b30292508","Domar a la divina garza - Sergio Pitol.txt","la obra","char-offset:12004","","","","","","","","","#creación literaria|#narrativa|#intertexto","Proceso creativo","",""
"358bbaec-a0f5-4cb1-8733-3472f2f02e69","Domar a la divina garza - Sergio Pitol.txt","Las almas muertas","char-offset:12361","EVENT","","","","","","","","#personajes|#creación literaria|#narrativa|#novela|#intertexto","Novela, Obra de Gogol|Novela del escritor Gogl","",""
"b340c97e-9b7f-4990-a351-beb2a602b9ab","Domar a la divina garza - Sergio Pitol.txt","Chíchikov, el protagonista","char-offset:12398","PERSON","","","","","","","","#creación literaria|#narrativa|#personajes|#intertexto","Personaje protagonista de la novela ""Las almas muertas"" de Gogol","",""
"008978f9-3942-4103-9a1f-4ad97b4bc10a","Domar a la divina garza - Sergio Pitol.txt","Las almas muertas","char-offset:12952","EVENT","","","","","","","","#creación literaria|#narrativa|#novela|#intertexto","Novela del escritor Gogl","",""
